WindowSize,InputSize,RunTime
500,500,0.000341292
500,1000,0.00125525
500,2000,0.00297542
500,4000,0.00546854
500,8000,0.0110013
500,16000,0.0164703
500,32000,0.0263442
500,64000,0.0457391
500,128000,0.0942965
