WindowSize,InputSize,RunTime
50,500,0.001873
50,1000,0.00381104
50,2000,0.00752804
50,4000,0.0152542
50,8000,0.0306995
50,16000,0.0613253
50,32000,0.122368
50,64000,0.247058
50,128000,0.507528
