WindowSize,InputSize,RunTime
500,500,4.5208e-05
500,1000,0.0204479
500,2000,0.0608417
500,4000,0.144643
500,8000,0.315687
500,16000,0.648305
500,32000,1.32193
500,64000,2.68243
500,128000,5.41202
