WindowSize,InputSize,RunTime
5,500,0.001193
5,1000,0.00244325
5,2000,0.0046005
5,4000,0.00804833
5,8000,0.0130853
5,16000,0.019396
5,32000,0.0312105
5,64000,0.0564053
5,128000,0.115464
