WindowSize,InputSize,RunTime
200,500,0.00519767
200,1000,0.013372
200,2000,0.0304837
200,4000,0.0639814
200,8000,0.124982
200,16000,0.243966
200,32000,0.501649
200,64000,1.0224
200,128000,2.05461
