WindowSize,InputSize,RunTime
50,500,0.000750416
50,1000,0.00165025
50,2000,0.00337721
50,4000,0.00659975
50,8000,0.00684708
50,16000,0.0144167
50,32000,0.0286654
50,64000,0.0593798
50,128000,0.115154
