WindowSize,InputSize,RunTime
50,50000,0.0584062
100,50000,0.0437868
150,50000,0.0383141
200,50000,0.0374251
250,50000,0.0359088
300,50000,0.0358663
350,50000,0.0355425
400,50000,0.0353089
450,50000,0.0349265
