WindowSize,InputSize,RunTime
200,500,0.000650833
200,1000,0.00155033
200,2000,0.00342354
200,4000,0.00690567
200,8000,0.011697
200,16000,0.0172172
200,32000,0.0277348
200,64000,0.0480067
200,128000,0.10341
