WindowSize,InputSize,RunTime
10,500,0.000491
10,1000,0.000957416
10,2000,0.00192512
10,4000,0.00376025
10,8000,0.00751833
10,16000,0.0149803
10,32000,0.0301146
10,64000,0.0603663
10,128000,0.124826
