WindowSize,InputSize,RunTime
10,500,0.00118267
10,1000,0.00225888
10,2000,0.00419504
10,4000,0.00862367
10,8000,0.012714
10,16000,0.0201365
10,32000,0.0338315
10,64000,0.0615777
10,128000,0.126518
